,,,,,,,,,,,,,
Vesicles red Position,,,,,,,,,,,,,
 ==================== ,,,,,,,,,,,,,
Vesicles red Position X,Vesicles red Position Y,Vesicles red Position Z,Unit,Category,Collection,Birth [s],Death [s],CellID,ID,OriginalID,Original Component Name,Original Component ID,Original Image Name
59.596733,-26.711548,2.007273,µm,Vesicles red, Vesicles red Position,0,1,19,300034021,300060419,Cells 1 x.icsx_[ibrx_2026-08-20T16-15-22.389],400001,Ly7_dTAG_G_LCR_BCL6_n2_1_R3D_[ims1_2026-08-20T16-15-22.389]
59.998466,-26.296434,2.005889,µm,Vesicles red, Vesicles red Position,0,1,19,300034022,300060420,Cells 1 x.icsx_[ibrx_2026-08-20T16-15-22.389],400001,Ly7_dTAG_G_LCR_BCL6_n2_1_R3D_[ims1_2026-08-20T16-15-22.389]
47.584793,-10.786225,2.899639,µm,Vesicles red, Vesicles red Position,0,1,19,300034023,300060421,Cells 1 x.icsx_[ibrx_2026-08-20T16-15-22.389],400001,Ly7_dTAG_G_LCR_BCL6_n2_1_R3D_[ims1_2026-08-20T16-15-22.389]
47.762772,-10.426408,2.891499,µm,Vesicles red, Vesicles red Position,0,1,19,300034024,300060422,Cells 1 x.icsx_[ibrx_2026-08-20T16-15-22.389],400001,Ly7_dTAG_G_LCR_BCL6_n2_1_R3D_[ims1_2026-08-20T16-15-22.389]
64.429825,-16.489828,1.632142,µm,Vesicles red, Vesicles red Position,0,1,19,300034025,300060423,Cells 1 x.icsx_[ibrx_2026-08-20T16-15-22.389],400001,Ly7_dTAG_G_LCR_BCL6_n2_1_R3D_[ims1_2026-08-20T16-15-22.389]
62.051144,-13.400319,2.397883,µm,Vesicles red, Vesicles red Position,0,1,19,300034026,300060424,Cells 1 x.icsx_[ibrx_2026-08-20T16-15-22.389],400001,Ly7_dTAG_G_LCR_BCL6_n2_1_R3D_[ims1_2026-08-20T16-15-22.389]
60.537109,-12.898679,2.68214,µm,Vesicles red, Vesicles red Position,0,1,19,300034027,300060425,Cells 1 x.icsx_[ibrx_2026-08-20T16-15-22.389],400001,Ly7_dTAG_G_LCR_BCL6_n2_1_R3D_[ims1_2026-08-20T16-15-22.389]
60.441185,-15.929517,2.992086,µm,Vesicles red, Vesicles red Position,0,1,19,300034028,300060426,Cells 1 x.icsx_[ibrx_2026-08-20T16-15-22.389],400001,Ly7_dTAG_G_LCR_BCL6_n2_1_R3D_[ims1_2026-08-20T16-15-22.389]
69.915764,-19.194889,2.611032,µm,Vesicles red, Vesicles red Position,0,1,19,300034029,300060427,Cells 1 x.icsx_[ibrx_2026-08-20T16-15-22.389],400001,Ly7_dTAG_G_LCR_BCL6_n2_1_R3D_[ims1_2026-08-20T16-15-22.389]
45.598206,-5.621774,2.056932,µm,Vesicles red, Vesicles red Position,0,1,19,300034030,300060428,Cells 1 x.icsx_[ibrx_2026-08-20T16-15-22.389],400001,Ly7_dTAG_G_LCR_BCL6_n2_1_R3D_[ims1_2026-08-20T16-15-22.389]
62.297897,47.988739,2.498702,µm,Vesicles red, Vesicles red Position,0,1,20,300034031,300032588,Cells 1 x.icsx_[ibrx_2026-08-20T16-15-22.389],400001,Ly7_dTAG_G_LCR_BCL6_n2_2_R3D_D3D_[ims1_2026-08-20T16-15-22.389]
58.191525,50.055012,2.643074,µm,Vesicles red, Vesicles red Position,0,1,20,300034032,300032589,Cells 1 x.icsx_[ibrx_2026-08-20T16-15-22.389],400001,Ly7_dTAG_G_LCR_BCL6_n2_2_R3D_D3D_[ims1_2026-08-20T16-15-22.389]
58.906143,49.398582,2.810076,µm,Vesicles red, Vesicles red Position,0,1,20,300034033,300032590,Cells 1 x.icsx_[ibrx_2026-08-20T16-15-22.389],400001,Ly7_dTAG_G_LCR_BCL6_n2_2_R3D_D3D_[ims1_2026-08-20T16-15-22.389]
68.759941,71.816025,0.477945,µm,Vesicles red, Vesicles red Position,0,1,21,300034034,300032591,Cells 1 x.icsx_[ibrx_2026-08-20T16-15-22.389],400001,Ly7_dTAG_G_LCR_BCL6_n2_2_R3D_D3D_[ims1_2026-08-20T16-15-22.389]
